id;tower;_071_eqty_fta;_075_cash_a;_166_ebitda_int_exp;_167_eqty_gw_a;_168_b_loans_bonds_a;_172_eqty_gw_a_gw;_187_margin_yoy;_192_tpo_rev;_193_tro_rev;_209_ebtda_pv;_210_e_eqty;_211_e_a;_166_ebitda_int_exp_3;_027_st_l_ebitda_2;_161_rev_yoy_2;_187_margin_yoy_2;_187_margin_yoy_3;PD
10828;SK;0.821624;0.236187;68.230000;0.737809;0.335550;-1.377275;0.270101;5.752506;170.970553;1.437700;-0.038099;-0.028110;-0.703597;27.197563;0.029992056;0.170100747;-0.204198091;0.029519165
10831;SK;0.935747;0.332623;21.501777;0.834448;-0.208428;-1.739654;0.182910;-0.532918;138.311890;-4.898732;0.062882;0.052472;0.302208;1.188423;0.03432829;0.082910298;-0.320389384;0.005151148
10832;SK;0.947952;0.472169;1.830674;0.886024;-0.377684;-1.933058;0.608566;0.085493;148.801540;0.108504;-0.035698;-0.031630;0.700637;14.023900;0.612827459;0.708565795;0.380106975;0.017815099
10833;SK;0.413320;0.538684;-2.383340;0.287367;2.324298;0.311809;0.429594;-0.463628;40.989456;1.259979;-0.582551;-0.167406;0.737717;33.870000;0.480148949;0.529593907;0.141606365;0.062762108
10834;SK;0.584798;0.424447;3.251347;0.395447;1.748439;-0.093471;0.226181;-0.755480;52.109553;0.459578;-0.062899;-0.024873;0.671862;7.279128;0.146291019;0.126180985;-0.262726221;0.037062379
10835;SK;0.535822;0.504100;1.380274;0.374419;1.639153;-0.014619;0.172278;-0.666166;46.817016;0.639385;-0.145517;-0.054484;0.709760;22.558473;0.11225791;0.272278319;-0.201296226;0.041231389
10836;SK;0.596318;0.288895;2.995756;0.412441;1.478504;-0.157197;0.108840;-0.945339;44.142377;0.567193;-0.089246;-0.036809;0.677039;12.583269;0.015444276;0.008839831;-0.419096794;0.032080149
10837;SK;0.611074;0.126437;6.732781;0.372013;1.169964;-0.005598;0.097637;-0.956866;67.339658;0.393154;0.005481;0.002039;0.601347;8.328598;0.070085967;0.002362686;-0.434025435;0.028017005
10838;SK;0.616164;0.234729;5.266090;0.403254;1.378515;-0.122745;0.082683;-0.967431;46.446595;0.505477;-0.020642;-0.008324;0.631054;10.438332;0.026267526;0.01731686;-0.45395359;0.029974189
10839;SK;1.557667;-0.128915;-26.990290;0.420289;-0.943685;-0.186624;0.059020;-0.057486;3.148010;1.613479;-1.349762;-0.247201;0.737717;33.870000;0.091629067;0.159020274;-0.352225587;0.025985142
10840;SK;0.174025;0.311062;4.123564;0.006703;1.815095;1.364256;5.853659;0.518979;25.534488;0.453363;1.293192;0.043582;0.654196;10.731036;4.832584764;5.753658537;7.236534328;0.18347926
10841;SK;0.321348;0.248727;7.013589;0.075983;0.957589;1.104466;0.583405;0.522850;83.758078;0.319585;0.505188;0.038386;0.595660;7.243516;0.087189749;0.483404933;0.213315742;0.05378623
10844;SK;2.323085;-0.295102;68.230000;0.219885;-0.621861;0.564858;4.124845;-0.830893;9.222953;0.608973;0.677375;0.148944;-0.703597;4.550385;4.131191755;4.024845124;4.932691779;0.025638553
10845;SK;0.104801;0.628762;6.867423;0.064445;0.883237;1.147731;0.241795;-0.308328;30.358133;0.559150;0.112673;0.007261;0.598620;6.400680;0.108672039;0.141794966;-0.241918796;0.053116773
10846;SK;2.681681;0.426448;1.552236;0.610166;-0.943685;-0.898632;1.063299;-0.110510;129.716739;0.420938;-0.015401;-0.009397;0.706277;5.919353;0.43;1.163299066;0.986091317;0.024727471
10847;SK;2.536832;0.666936;10.270471;0.772402;-0.338586;-1.506990;0.065519;-0.579212;113.278538;0.187926;0.006168;0.004764;0.529693;2.024346;0.055957428;0.034481326;-0.476827214;0.01623624
10849;SK;2.225098;0.669026;9.700296;0.660574;0.037367;-1.087656;0.006014;-0.113793;108.451534;0.124230;0.000503;0.000332;0.541242;7.024138;0.056973212;0.09398608;-0.438891124;0.021230358
10851;SK;1.102770;0.669557;8.214045;0.900122;-0.644782;-1.985919;0.163295;-0.766791;18.406492;-0.400832;-0.068666;-0.061808;0.571345;0.933374;0.267201531;0.263295029;-0.213267492;0.012368555
10852;SK;0.328359;0.624660;3.858376;0.250260;-0.125204;0.450958;0.147567;-0.606287;47.200169;0.029861;0.029673;0.007426;0.659567;0.863337;0.107380685;0.047566879;-0.367488552;0.032119095
10856;SK;0.326043;0.430577;-0.632877;0.190117;0.214123;0.676482;0.016634;-0.579418;58.289484;0.040244;-0.179334;-0.034094;0.737717;33.870000;0.063511968;0.0833657;-0.453044001;0.035094883
10857;SK;1.009371;0.689579;7.754129;0.262922;0.663211;0.403477;0.228928;1.178588;205.123852;0.198716;0.011256;0.002960;0.580660;16.168897;0.115079633;0.128927645;-0.259065981;0.048577939
10859;SK;0.680596;0.609496;4.151016;0.323984;1.142957;0.174501;0.039494;-0.730393;70.058952;0.159501;-0.282267;-0.091450;0.653640;2.683538;0.224127895;0.060505683;-0.483507601;0.035614312
10861;SK;0.747021;0.673365;9.317463;0.305035;0.735280;0.245559;0.234244;-0.627626;81.847221;-0.078915;0.026990;0.008233;0.548996;2.179571;0.019806025;0.134243826;-0.251981559;0.033326587
10862;SK;0.323039;0.640787;9.186004;0.115366;1.050744;0.956785;0.112023;-0.731493;75.257454;0.002035;0.165699;0.019116;0.551658;3.278668;0.121982237;0.012022524;-0.414855489;0.042139588
10863;SK;0.932103;0.650390;31.280373;0.601394;0.119860;-0.865739;0.401362;-0.714331;34.093547;-0.403049;0.134990;0.081182;0.104147;1.137167;0.166623018;0.301361838;-0.029277603;0.016210549
10864;SK;1.054400;0.576844;34.639225;0.642568;0.217800;-1.020137;0.081638;-0.777229;42.879627;-0.597314;0.190509;0.122415;0.036115;0.960194;0.14998785;0.181637675;-0.322085301;0.013523148
10865;SK;1.259823;0.605433;69.769767;0.719275;-0.062433;-1.307774;0.230176;-0.799983;40.977306;-0.800213;0.274992;0.197795;-0.675438;0.526780;0.077454843;0.130175669;-0.257402845;0.00800499
10868;SK;3.100000;-0.401041;4.242566;0.107175;-0.943685;0.987501;5.853659;-0.802044;17.229365;0.646102;0.174318;0.018683;0.651785;2.572773;4.832584764;5.753658537;7.236534328;0.073795547
10869;SK;3.100000;0.600550;68.230000;0.086768;-0.943685;1.064024;0.500000;0.315185;77.831530;0.596606;0.332764;0.028873;-0.703597;16.988665;0.43;0.5;0.16879983;0.023103407
10870;SK;0.314037;0.688707;-26.990290;0.048078;-0.773432;1.209107;1.330479;0.792185;51.913137;0.509884;0.573433;0.027569;0.737717;33.870000;1.23048507;1.230479158;1.208878001;0.064990806
10872;SK;0.421868;0.616458;-2.418544;0.091359;-0.767266;1.046807;1.106825;0.943972;38.153195;0.466704;0.200754;0.018341;0.737717;33.870000;1.008206221;1.006824759;0.910832812;0.058796327
10873;SK;0.931211;0.425660;4.462573;0.706591;-0.943685;-1.260211;0.500000;-0.266044;108.259536;0.428609;-0.045221;-0.031953;0.647329;3.930426;0.43;0.5;0.16879983;0.018548753
10874;SK;0.997895;0.048646;15.580353;0.728758;-0.943685;-1.343334;0.267906;-0.619406;38.436243;-0.253441;0.044044;0.032097;0.422144;0.994845;0.266782252;0.16790562;-0.207123349;0.01113687
10875;SK;1.729155;0.619721;3.211167;0.216553;0.467089;0.577350;0.944943;-0.230939;85.914444;0.618216;0.002882;0.000624;0.672676;15.218606;1.77282655;0.844942537;0.695106147;0.050484199
10876;SK;1.899063;0.692443;3.159082;0.369778;0.504490;0.002784;0.129014;0.083407;39.641245;0.556433;0.002399;0.000887;0.673731;8.098812;0.062068056;0.029014009;-0.392212383;0.038783816
10877;SK;2.255077;0.694161;2.465685;0.243823;0.320433;0.475094;0.555084;0.752090;118.538739;0.553859;0.000960;0.000234;0.687775;14.216790;0.491583337;0.455083845;0.175574638;0.052550959
